
J15,rājayogam,yoginā,yogopadiśyate,rājayogam,ajānatām,kṣamākaraḥ,svātmārāmo,śrīādināthādi,śāgarā,śruddha,buddhaś ca,pauraṇṭakaḥ,surānandaḥ,siddha,pādaś ca,,carpaṭi,pūrva,siddhanātho,kākacaṇḍīśvarādaya,ciṃcaṇi,vāsukir,prabhāvataḥ,saṃsāra,śrama,āśrayo yaṃ,haṭho mataḥ,yuktānām,ādhāra,kamaṭho,haṭha,,viṭapaṃ,yataṃ,liptamamalaṃ,nirdoṣa,bādhojjhitam,vedikūparuciraṃ,eva samabhyaset,ṣaḍbhir yogaś,ca naśyati,niścayād dhairyāt,jñānāc ca darśanāt,yogaḥ prasidhyati,kuryāt tad āsanaṃ,tasmād,pāṭavaṃ,kathyante,pādatale ubhe,pracakṣate,'pi,gomukhaṃ yathā
J17,rājayogam,yoginā,vidyopadiśyate,rājayogam,ajānatām,kṣamākaraḥ,svātmārāmo,śrīādinātha,śābarā,śuddha,buddhaś ca,pauraṇṭakaḥ,surānandaḥ,siddha,pādaś ca,,carppaṭī,pūrva,dhvaninātho,kākacaṇḍīśvarādayaḥ,ṭiṇṭiṇī,bhālukī,prabhāvataḥ,saṃsāra,śrama,āśrayo yaṃ,haṭho mataḥ,juktānām,ādhāraḥ,kamaṭho,haṭha,,piṭhakaṃ,pitaṃ,līptam amalaṃ,nirdoṣa,bādhojjhitam,vedikūparacitaṃ,evaṃ samabhyaset,ṣaḍbhir yogaś,ca naśyati,niścayād dhairyāt,jñānāc ca darśanāt,yogas tu sidhyati,kuryāt tad āsanaṃ,tasmād,pāṭavaṃ,kathyante,pādatale ubhe,pracakṣate,'pi,gaumukhaṃ yathā
J2,rājasaudhām,yoginā,vidyā prakāśayet,rājamārgam,ajānate,niraṃjanaṃ,svātmārāmo,śrīādinātha,sāgarā,sandhi,tudhiś ca,koraṃṭaka,surānanda,siddhi,pādaś ca,,tarpaṭi,pūjya,nityanātho,kālacaṃḍīsvarāhūyaṃ,ciṃciṇī,vāsukī,prabhāvata,saṃsāra,tāpa,samīśraya,maho hagaṃ,vijñāna,sarva,siddhi,pradāyakā,,puṭitam,vṛtaṃ,liptavimalaṃ,niḥśeṣa,bodhīkṣataṃ,vedikūparacitaṃ,eva samabhyaset,ṣaḍbhir yoga,praṇaśyati,niściyaudhairya,jñānasya darśanāt,yoga prasiddhati,kuryād āsanaṃ,pūrvam,pāṭavaṃ,kathyante,pādatale ubhe,pracakṣate,'pi,gomukhe yathā
J3,rājasaudha,dhīmatā,vidyopadiśyate,rājayogam,ajānatām,kṛpākaraḥ,ātmārāmo,śrīādinātha,śāradā,siddhi,buddhiś ca,,,,,,,pūjya,nityanātho,kālacaṃḍīsvarādayaḥ,ṭiṇṭiṇī,bhālukir,prabhāvataḥ,saṃsāra,tāpa,samāśraya,maṭho haṭhaḥ,jagatām,ādhāra,kamalo,haṭhaḥ,,viṭapaṃ,yitaṃ,liptavimalaṃ,niḥśeṣa,jantūjjhitam,vedikūparacitaṃ,eva samabhyaset,ṣaḍbhir yogo,vinaśyati,sāhasād vairyāt,jñānāc ca niścayāt,yogaḥ prasidhyati,tatkuryād āsanaṃ,sthairyam,pāṭavaṃ,vakṣyante,pādatale ubhe,pracakṣate,tu,gomukhaṃ yathā
J4,rājasaudham,yoginā,vidyopadiśyate,rājayogam,ajānatam,kṛpākaraḥ,svātmārāmo,śrīādinātha,sāgarā,siddha,buddhaś ca,koraṃtakaḥ,sarānandaḥ,siddha,pādaś ca,,carpaṭiḥ,sarva,nityanātho,kākacaṇḍīśvarāhayaḥ,ciṃviṇī,vāsukir,prabhāvataḥ,saṃsāra,tāpa,samāśraya,māṭho haṭhaḥ,yuktānām,ādhāraḥ,kamaṭho,haṭhaḥ,,piṭakaṃ,yataṃ,liptavimalaṃ,niḥśeṣa,bādhojjhitam,vedikoparacitaṃ,ātmavaśaṃ nayeta,ṣaḍbhir yogaḥ,praṇaśyati,niścayādvayāt,jñānāc ca darśanāt,yogaḥ prasidhyati,tatkuryād āsanaṃ,sthairyam,pāṭavaṃ,kathyante,pādāvubhau ṛju,pracakṣate,'pi,gomukhaṃ yathā
J6,rājasaudham,dhīmatā,vidyopadiśyate,rājayogam,ajānatām,kṛpākaraḥ,ātmārāmo,śrīādinātha,śāradā,siddha,buddhiś ca,,,,,,,pūjya,nityanātho,kākacaṇḍīśvarādayaḥ,ṭiṇṭiṇiḥ,bhālukir,prabhāvataḥ,saṃsāra,tāpa,samāśraya,maṭho haṭhaḥ,jagatām,ādhāra,kamaṭho,haṭhaḥ,,viṭapaṃ,yataṃ,liptavimalaṃ,niḥśeṣa,jantūjjhitam,vedikūparacitaṃ,eva sadābhyaset,ṣaḍbhir yogo,vinaśyati,niścayād dhairyāt,jñānāc ca darśanāt,yogaḥ prasidhyati,tatkuryād āsanaṃ,sthairyam,pāṭavaṃ,vakṣyante,pādatale ubhe,pracakṣate,tu,gomukhaṃ yathā
J6ac,rājasaudham,dhīmatā,vidyopadiśyate,rājayogam,ajānatām,kṛpākaraḥ,ātmārāmo,śrīādinātha,śāradā,siddha,buddhiś ca,,,,,,,pūjya,nityanātho,kākacaṇḍīśvarādayaḥ,ṭiṇṭiṇiḥ,bhālukir,prabhāvataḥ,saṃsāra,tāpa,samāśraya,maṭho haṭhaḥ,jagatām,ādhāra,kamalo,haṭhaḥ,,viṭapaṃ,yataṃ,liptavimalaṃ,niḥśeṣa,jantūjjhitam,vedikūparacitaṃ,eva sadābhyaset,ṣaḍbhir yogo,vinaśyati,niścayād dhairyāt,jñānād viniścayāt,yogaḥ prasidhyati,tatkuryād āsanaṃ,sthairyam,pāṭavaṃ,vakṣyante,pādatale ubhe,pracakṣate,tu,gomukhaṃ yathā
J6pc,rājasaudham,dhīmatā,vidyopadiśyate,rājayogam,ajānatām,kṛpākaraḥ,ātmārāmo,śrīādinātha,śāradā,siddha,buddhiś ca,,,,,,,pūjya,nityanātho,kākacaṇḍīśvarogajaḥ,ṭiṇṭiṇiḥ,bhālukir,prabhāvataḥ,saṃsāra,tāpa,samāśraya,maṭho haṭhaḥ,jālānām,ādhāra,kamaṭho,haṭhaḥ,,viṭapaṃ,yitaṃ,liptavimalaṃ,niḥśeṣa,jantūjjhitam,vedikūparacitaṃ,eva sadābhyaset,ṣaḍbhir yogo,vinaśyati,sāhasād dhairyāt,jñānāc ca niścayāt,yogas tu sidhyati,tat kuryād āsana,sthairyam,lāghavaṃ,vakṣyante,pādatale ubhe,pracakṣate,tu,gomukhaṃ yathā
J8,rājayogam,yoginā,vidyopadiśyate,rājayogam,ajānatām,prakāśyate,svātmārāmo,śrīādinātha,śāgarā,siddha,budhiś ca,pauraṇṭakaḥ,surānanda,siddha,pādaś ca,,carpaṭiḥ,pūjya,nityanātho,kākacaṇḍīśvarādayaḥ,,vāsukir,prasādataḥ,saṃsāra,śrama,āśrayo yaṃ,haṭho mataḥ,jagatām,ādhāra,kamaṭho,haṭhaḥ,,viṭapaṃ,yataṃ,liptavimalaṃ,niḥśeṣa,bādhojjhitam,vedikūparuciraṃ,mārgaṃ samaṃbhyaset,ṣaḍbhir yogo,vinaśyati,niścayād dhairyāt,jñānāc ca darśanāt,yogaḥ prasidhyati,tat kuryād āsana,sthairyam,pāṭavaṃ,kathyante,pādatale ubhe,pracakṣate,'pi,gomukhaṃ tathā
J8ac,rājayogam,yoginā,vidyopadiśyate,rājayogam,ajānatām,prakāśyate,svātmārāmo,śrīādinātha,śāgarā,siddha,budhiś ca,poraṃṭakaḥ,surānanda,siddha,pādaś ca,,carpaṭi,pūjya,nityaṃnātho,kākacaṇḍīśvarādayaḥ,ciṃciṇī,vāsukir,prasādataḥ,saṃsāra,śrama,āśrayo yaṃ,haṭho mataḥ,yuktānām,ādhāra,kamaṭho,haṭhaḥ,,viṭapaṃ,yataṃ,liptavimalaṃ,niśeṣa,bādhojjhitam,vedikūparuciraṃ,mārgaṃ samaṃbhyaset,ṣaḍbhir yogo,vinaśyati,niścayād dhairyā,jñānā ca darśanāt,yoga prasidhyati,tat kuryād āsana,sthairyam,pāṭavaṃ,kathyante,pādatale ubhe,pracakṣate,'pi,gomukhaṃ tathā
